Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Andre Iguodala,25.0,PHI,SF,82.0,82.0,3269.0,6.0,12.6,0.473,0.9,2.9,0.307,5.1,9.8,0.521,0.507,4.2,5.7,0.724,1.0,4.2,5.2,4.8,1.4,0.4,2.4,1.7,17.0,DPOY-13
2.0,Joe Johnson,27.0,ATL,SG,79.0,79.0,3124.0,7.1,16.4,0.437,1.7,4.8,0.36,5.4,11.6,0.468,0.489,3.4,4.2,0.826,0.7,3.2,4.0,5.2,1.0,0.2,2.2,2.0,19.5,AS
3.0,O.J. Mayo,21.0,MEM,SG,82.0,82.0,3120.0,6.5,14.8,0.438,1.7,4.4,0.384,4.8,10.4,0.461,0.495,2.8,3.2,0.879,0.6,2.9,3.6,3.0,1.0,0.1,2.6,2.4,17.5,ROY-2
4.0,Antawn Jamison,32.0,WAS,PF,81.0,81.0,3096.0,7.8,16.8,0.468,1.3,3.7,0.351,6.5,13.0,0.501,0.507,4.0,5.3,0.754,2.3,6.1,8.4,1.8,1.1,0.3,1.5,2.5,20.9,
5.0,Raymond Felton,24.0,CHA,PG,82.0,81.0,3086.0,5.2,12.6,0.408,0.7,2.4,0.285,4.5,10.2,0.437,0.435,2.6,3.2,0.805,0.6,3.0,3.6,6.5,1.5,0.3,2.7,2.2,13.6,
6.0,Tayshaun Prince,28.0,DET,SF,82.0,82.0,3057.0,5.4,12.0,0.45,0.7,1.7,0.397,4.7,10.4,0.458,0.477,2.2,2.9,0.778,1.5,4.1,5.6,3.0,0.5,0.6,1.2,1.2,13.7,
7.0,LeBron James,24.0,CLE,SF,81.0,81.0,3054.0,9.3,19.0,0.489,1.6,4.5,0.344,7.7,14.5,0.535,0.53,7.0,9.0,0.78,1.2,6.0,7.2,6.9,1.6,1.1,2.8,1.6,27.2,"MVP-1,DPOY-2,AS,NBA1,DEF1"
8.0,Dirk Nowitzki,30.0,DAL,PF,81.0,81.0,3050.0,9.1,19.1,0.479,0.7,2.0,0.359,8.4,17.1,0.493,0.498,5.7,6.4,0.89,1.0,7.0,8.0,2.3,0.7,0.7,1.9,2.1,24.7,"MVP-10,AS,NBA1"
9.0,Dwyane Wade,27.0,MIA,SG,79.0,79.0,3048.0,10.1,20.5,0.491,1.0,3.3,0.317,9.0,17.3,0.524,0.516,7.0,9.1,0.765,1.1,3.6,4.7,7.0,2.0,1.3,3.2,2.1,28.2,"MVP-3,DPOY-3,AS,NBA1,DEF2"
10.0,Paul Pierce,31.0,BOS,SF,81.0,81.0,3035.0,6.4,14.0,0.457,1.4,3.6,0.391,5.0,10.4,0.48,0.508,5.4,6.6,0.83,0.7,4.8,5.4,3.5,0.9,0.3,2.7,2.6,19.7,"MVP-7,AS,NBA2"
11.0,LaMarcus Aldridge,23.0,POR,PF,81.0,81.0,3004.0,7.2,14.9,0.484,0.1,0.3,0.25,7.1,14.6,0.489,0.486,3.1,4.0,0.781,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6,
12.0,Chris Paul,23.0,NOH,PG,78.0,78.0,3002.0,7.6,15.0,0.503,0.8,2.1,0.364,6.8,12.9,0.525,0.528,5.5,6.3,0.868,0.8,4.4,5.2,10.3,2.6,0.1,2.8,2.5,21.4,"MVP-5,DPOY-6,AS,NBA2,DEF1"
13.0,Derrick Rose,20.0,CHI,PG,81.0,80.0,3000.0,6.9,14.5,0.475,0.2,0.9,0.222,6.7,13.6,0.491,0.482,2.4,3.0,0.788,1.2,2.7,3.8,6.1,0.8,0.2,2.4,1.5,16.3,ROY-1
14.0,Ben Gordon,25.0,CHI,SG,82.0,76.0,2999.0,7.2,15.8,0.455,2.1,5.1,0.41,5.1,10.7,0.476,0.521,4.0,4.6,0.864,0.6,2.8,3.4,3.3,0.9,0.3,2.4,2.2,20.4,
15.0,Pau Gasol,28.0,LAL,C,81.0,81.0,2999.0,7.1,12.5,0.567,0.0,0.0,0.5,7.1,12.5,0.567,0.567,4.1,5.3,0.781,3.1,6.2,9.4,3.4,0.6,1.0,1.9,2.1,18.3,"AS,NBA3"
16.0,David West,28.0,NOH,PF,76.0,76.0,2982.0,7.4,15.6,0.472,0.1,0.3,0.24,7.3,15.3,0.477,0.474,4.4,5.0,0.884,1.9,5.9,7.8,2.1,0.6,0.8,2.0,2.5,19.2,AS
17.0,Andre Miller,32.0,PHI,PG,82.0,82.0,2976.0,6.0,12.6,0.473,0.2,0.6,0.283,5.8,12.0,0.483,0.48,4.1,4.9,0.826,1.5,3.0,4.5,6.5,1.3,0.2,2.4,2.4,16.2,
18.0,Kobe Bryant,30.0,LAL,SG,82.0,82.0,2960.0,9.7,20.8,0.467,1.4,4.1,0.351,8.3,16.7,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,"MVP-2,DPOY-7,AS,NBA1,DEF1"
19.0,John Salmons,29.0,2TM,SF,79.0,74.0,2959.0,6.3,13.3,0.472,1.5,3.7,0.417,4.7,9.6,0.493,0.53,3.5,4.2,0.83,0.7,3.3,4.1,3.0,1.0,0.3,2.0,2.2,17.6,
19.0,John Salmons,29.0,SAC,SF,53.0,53.0,1980.0,6.4,13.5,0.472,1.4,3.3,0.418,5.0,10.2,0.489,0.524,3.5,4.2,0.823,0.8,3.2,4.0,3.6,1.1,0.2,2.2,2.2,17.6,
19.0,John Salmons,29.0,CHI,SF,26.0,21.0,979.0,6.1,12.8,0.473,1.8,4.3,0.415,4.3,8.5,0.502,0.543,3.6,4.2,0.843,0.6,3.5,4.1,1.9,0.9,0.6,1.6,2.2,17.5,
20.0,Vince Carter,32.0,NJN,SG,80.0,80.0,2946.0,7.2,16.4,0.437,1.8,4.8,0.385,5.3,11.6,0.459,0.493,4.1,5.0,0.817,0.9,4.1,5.0,4.6,1.0,0.5,2.0,2.9,20.3,
21.0,Rudy Gay,22.0,MEM,SF,79.0,78.0,2945.0,7.0,15.4,0.453,1.0,3.0,0.351,6.0,12.5,0.477,0.487,3.2,4.2,0.767,1.3,4.0,5.3,1.7,1.2,0.7,2.5,2.7,18.3,
22.0,Richard Jefferson,28.0,MIL,SF,82.0,82.0,2939.0,6.6,15.0,0.439,1.4,3.6,0.397,5.2,11.4,0.453,0.487,5.1,6.3,0.805,0.7,3.9,4.6,2.4,0.8,0.2,2.0,3.1,19.7,
23.0,Chris Bosh,24.0,TOR,C,77.0,77.0,2928.0,7.6,15.5,0.487,0.1,0.6,0.245,7.4,14.9,0.497,0.492,6.2,7.6,0.817,2.6,6.8,9.5,2.3,0.8,0.9,2.1,2.3,21.5,AS
24.0,Chris Duhon,26.0,NYK,PG,79.0,78.0,2906.0,3.6,8.4,0.421,1.6,4.0,0.391,2.0,4.4,0.449,0.515,2.2,2.6,0.856,0.6,2.5,3.0,7.0,0.9,0.1,2.7,1.6,10.9,
25.0,Brandon Roy,24.0,POR,SG,78.0,78.0,2903.0,7.8,16.3,0.48,1.0,2.7,0.377,6.8,13.6,0.501,0.512,5.2,6.3,0.824,1.3,3.3,4.6,5.0,1.1,0.3,1.9,1.6,21.9,"MVP-9,AS,NBA2"
26.0,Jason Kidd,35.0,DAL,PG,81.0,81.0,2886.0,3.2,7.7,0.416,1.6,4.0,0.406,1.6,3.7,0.427,0.522,1.1,1.3,0.819,1.1,5.2,6.2,8.8,2.0,0.5,2.3,2.1,9.1,
27.0,Kevin Durant,20.0,OKC,SF,74.0,74.0,2885.0,8.2,17.3,0.476,1.2,2.9,0.422,7.0,14.5,0.486,0.51,5.6,6.5,0.863,1.0,5.1,6.0,2.6,1.2,0.7,2.8,1.7,23.3,
28.0,Ray Allen,33.0,BOS,SG,79.0,79.0,2876.0,6.2,13.0,0.48,2.5,6.1,0.409,3.8,6.9,0.542,0.575,3.0,3.1,0.952,0.8,2.7,3.5,2.7,0.9,0.2,1.7,2.0,17.9,AS
29.0,Jeff Green,22.0,OKC,PF,78.0,78.0,2873.0,6.0,13.4,0.446,1.2,3.1,0.389,4.8,10.3,0.463,0.491,3.0,3.8,0.788,1.5,5.0,6.5,1.9,1.0,0.4,2.2,2.5,16.2,
30.0,Rashard Lewis,29.0,ORL,PF,79.0,79.0,2859.0,6.0,13.7,0.439,2.8,7.0,0.397,3.2,6.7,0.482,0.54,2.8,3.4,0.836,1.2,4.5,5.7,2.6,1.0,0.6,2.0,2.4,17.6,AS
