Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,James Harden,26.0,HOU,SG,82.0,82.0,3125.0,8.2,18.6,0.439,2.7,7.6,0.359,5.5,11.1,0.494,0.512,8.3,9.6,0.86,0.7,5.0,5.8,7.1,1.6,0.6,4.3,2.6,27.4,"MVP-9,AS"
2.0,Gordon Hayward,25.0,UTA,SF,80.0,80.0,2893.0,6.5,15.0,0.433,1.8,5.1,0.349,4.7,9.9,0.477,0.493,4.9,5.9,0.824,0.8,4.2,4.9,3.7,1.2,0.3,2.5,2.3,19.6,
3.0,Kemba Walker,25.0,CHO,PG,81.0,81.0,2885.0,7.1,16.6,0.427,2.3,6.1,0.371,4.8,10.5,0.459,0.495,4.6,5.5,0.847,0.7,3.8,4.5,5.3,1.6,0.5,2.1,1.4,21.1,
4.0,Trevor Ariza,30.0,HOU,SF,81.0,81.0,2859.0,4.5,10.8,0.416,2.3,6.3,0.371,2.2,4.5,0.478,0.523,1.6,2.0,0.783,0.8,3.8,4.6,2.4,2.0,0.3,1.4,2.2,12.9,DPOY-13
5.0,Marcus Morris,26.0,DET,SF,80.0,80.0,2856.0,5.2,11.9,0.434,1.4,3.8,0.362,3.8,8.2,0.467,0.491,2.6,3.4,0.749,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.3,
6.0,Khris Middleton,24.0,MIL,SG,79.0,79.0,2852.0,6.4,14.4,0.444,1.8,4.6,0.396,4.6,9.9,0.466,0.507,3.5,3.9,0.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.1,
7.0,Kyle Lowry,29.0,TOR,PG,77.0,77.0,2851.0,6.5,15.1,0.427,2.7,6.9,0.388,3.8,8.2,0.461,0.516,5.0,6.2,0.811,0.7,3.9,4.6,6.2,2.0,0.4,2.8,2.7,20.6,"MVP-10,DPOY-13,AS,NBA3"
8.0,Andrew Wiggins,20.0,MIN,SF,81.0,81.0,2845.0,7.5,16.4,0.459,0.7,2.4,0.3,6.8,14.0,0.486,0.481,5.4,7.1,0.761,1.3,2.4,3.7,2.1,1.0,0.6,2.3,2.1,21.2,
9.0,Giannis Antetokounmpo,21.0,MIL,PG,80.0,79.0,2823.0,6.5,12.9,0.506,0.4,1.4,0.257,6.2,11.5,0.537,0.52,3.8,5.2,0.724,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2,
10.0,Paul George,25.0,IND,SF,81.0,81.0,2819.0,7.7,18.5,0.418,2.7,7.2,0.371,5.0,11.3,0.447,0.49,5.8,6.7,0.86,1.0,6.2,7.2,4.2,1.9,0.4,3.4,2.9,23.9,"AS,NBA3,DEF2"
11.0,Draymond Green,25.0,GSW,PF,81.0,81.0,2808.0,5.1,10.5,0.49,1.3,3.3,0.388,3.9,7.2,0.537,0.551,2.9,4.2,0.696,1.7,8.1,9.9,7.7,1.5,1.4,3.3,3.1,14.5,"MVP-7,DPOY-2,AS,NBA2,DEF1"
12.0,DeMar DeRozan,26.0,TOR,SG,78.0,78.0,2804.0,7.9,17.7,0.446,0.6,1.8,0.338,7.3,15.9,0.458,0.463,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,AS
13.0,Kentavious Caldwell-Pope,22.0,DET,SG,76.0,76.0,2789.0,5.2,12.4,0.42,1.5,4.8,0.309,3.7,7.6,0.489,0.479,2.4,2.9,0.811,0.9,2.7,3.6,1.8,1.4,0.2,1.4,2.2,14.3,
